,name,serving_size,calories,total_fat,fat,protein,Images,carbohydrate,ingredients
38,Yakhni (Cold Chicken Broth),200ml,60,2,0.5,9,https://i0.wp.com/theazizkitchen.com/wp-content/uploads/2021/12/Image_2.jpg?w=1440&ssl=1,5,"Chicken, spices, oil, garlic, ginger"
39,Carrot Kaanji,100g,40,0,0,1,https://www.supaintsonplates.com/wp-content/uploads/2020/10/1606851219157-scaled.jpg,5,"Carrots (4 large), Mustard seeds (1 tbsp), Water (4 cups), Salt (to taste), Asafoetida (a pinch)"
40,Grilled Paneer with Herbs,150g,220,10,4,14,https://www.seriouseats.com/thmb/Jr2QC66Ufk4FEkybk9GA1g8rE14=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/20220629-GrilledPaneer-AmandaSuarez-07-af57f444811844f9a19cc06eb97acd27.JPG,5,"Paneer (250 grams, cubed), Mixed herbs (2 tbsp, chopped), Lemon juice (1 tbsp), Garlic (2 cloves, minced), Olive oil (2 tbsp), Salt (to taste)"
41,Saag (Spinach) with Tofu,200g,140,8,2,10,https://cdn77-s3.lazycatkitchen.com/wp-content/uploads/2023/01/saag-tofu-ready-800x1200.jpg,10,"Spinach (2 bunches, chopped), Tofu (200 grams, cubed), Onion (1 medium, chopped), Tomato (1 medium, chopped), Garlic cloves (4, minced), Ginger (1 inch, grated), Green chilies (2, chopped), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
42,Dal Chawal Salad,150g,190,4,1,9,https://everydaynourishingfoods.com/wp-content/uploads/2022/07/instant-pot-dal-main-image.jpg,25,"Vegetables, olive oil, lemon, salt, pepper"
43,Mango Lassi (Low-fat Yogurt),200ml,150,2,1,5,https://www.liveeatlearn.com/wp-content/uploads/2023/06/mango-lassi-recipe-4.jpg,20,"Low-fat yogurt (2 cups), Mango pulp (1 cup), Honey (2 tbsp), Cardamom powder (1/2 tsp)"
44,Kashmiri Kahwa,200ml,30,0,0,1,https://www.sharmispassions.com/wp-content/uploads/2023/03/KashmiriKahwa3.jpg,5,"Water (4 cups), Green tea leaves (2 tbsp), Cardamom pods (4, crushed), Cinnamon stick (1 inch), Saffron strands (a pinch), Sugar (to taste), Almond slivers (for garnish)"
45,Coconut Water with Lemon and Mint,200ml,40,0,0,1,https://vaya.in/recipes/wp-content/uploads/2019/10/Coconut-water-with-mint-and-lemon.jpg,5,"Coconut water (2 cups), Lemon juice (1 tbsp), Mint leaves (a handful), Ice cubes (as needed)"
46,Kabuli Chana Salad (Chickpeas),150g,200,5,1,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoC8P2gog0Xlo8JT9AVedRuRXgBJcbJkstUi4w4LKkTw&s,25,"Vegetables, olive oil, lemon, salt, pepper"
47,Butternut Squash Soup,250ml,90,2,0.5,3,https://www.twopeasandtheirpod.com/wp-content/uploads/2022/11/Butternut-Squash-Soup-4.jpg,10,"Vegetables, broth, spices, salt, pepper"
48,Papaya Smoothie,250ml,120,1,0.5,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDE5Nvrgl_w4kNAzbz8j_dWx84iMuOveELMpoPwisGsQ&s,15,"Papaya (1 cup, cubed), Low-fat yogurt (1 cup), Honey (2 tbsp), Lemon juice (1 tsp)"
49,Murgh Masala,200g,240,10,3,25,https://sinfullyspicy.com/wp-content/uploads/2023/09/1-1.jpg,5,"Chicken (500 grams, cut into pieces), Onion (2 medium, chopped), Tomato (2 medium, chopped), Garlic cloves (4, minced), Ginger (1 inch, grated), Green chilies (2, chopped), Turmeric powder (1/2 tsp), Red chili powder (1 tsp), Garam masala (1 tsp), Coriander powder (1 tsp), Cumin seeds (1 tsp), Salt (to taste), Oil (2 tbsp)"
50,Jeera Rice with Vegetables,200g,220,4,1,4,https://i0.wp.com/curryandvanilla.com/wp-content/uploads/2018/09/Jeera-Vegetable-Fried-Rice-7B.jpg?w=816&ssl=1,30,"Rice, spices, oil, vegetables"
51,Mint Coriander Chutney with Grilled Fish,30g,60,2,0.5,3,https://www.ndtv.com/cooks/images/fish.with.green.chutney.jpg,5,"Fish, spices, lemon, garlic, ginger"
52,Spicy Roasted Chickpeas,150g,150,6,1,6,https://thehealthyepicurean.com/wp-content/uploads/2015/06/Spicy-Roasted-Chickpeas-3-scaled.jpg,25,"Chickpeas (1 cup, soaked and boiled), Olive oil (1 tbsp), Red chili powder (1/2 tsp), Cumin powder (1/2 tsp), Salt (to taste), Chaat masala (1/2 tsp)"
53,Grilled Paneer Tikka,150g,250,14,5,14,https://www.cookwithkushi.com/wp-content/uploads/2023/02/paneer_tikka_at_home_01.jpg,10,"Paneer (250 grams, cubed), Yogurt (1/2 cup), Ginger-garlic paste (1 tbsp), Red chili powder (1 tsp), Turmeric powder (1/2 tsp), Garam masala (1 tsp), Lemon juice (1 tbsp), Salt (to taste), Oil (2 tbsp)"
54,Spicy Lentil Salad,1 skewer,180,4,1,9,https://www.beautybites.org/wp-content/uploads/2016/08/20160729_154204.jpg,25,"Vegetables, olive oil, lemon, salt, pepper"
55,Grilled Vegetable Skewers,100g,100,3,0.5,3,https://minimalistbaker.com/wp-content/uploads/2017/05/EASY-DELICIOUS-Veggie-Skewers-w-Chimichurri-The-PERFECT-plant-based-option-for-grilling-season.-vegan-glutenfree-grilling-skewers-recipe-minimalistbaker-5.jpg,5,"Mixed vegetables (bell peppers, zucchini, mushrooms, cherry tomatoes, cubed), Olive oil (2 tbsp), Mixed herbs (2 tbsp, chopped), Salt (to taste), Lemon juice (1 tbsp)"
56,Steamed Brown Rice,150g,110,2,0.5,3,https://cookieandkate.com/images/2019/05/perfect-brown-rice-recipe-1.jpg,35,"Rice, spices, oil, vegetables"
57,Raita with Fresh Herbs,200g,50,2,1,2,https://www.tamarindnthyme.com/wp-content/uploads/2020/06/Cucumber-and-Herb-Raita5.jpg,5,"Mixed vegetables (bell peppers, zucchini, mushrooms, cherry tomatoes, cubed), Olive oil (2 tbsp), Mixed herbs (2 tbsp, chopped), Salt (to taste), Lemon juice (1 tbsp)"
58,Lentil and Spinach Soup,200ml,130,2,0.5,9,https://www.kitchentreaty.com/wp-content/uploads/2017/01/instant-pot-vegan-golden-lentil-soup-with-spinachfeat-420x560.jpg,25,"Vegetables, broth, spices, salt, pepper"
59,Steamed Fish with Herbs,200g,160,5,1,32,,0,"Fish, spices, lemon, garlic, ginger"
60,Quinoa with Chickpeas,100g,190,4,1,9,,25,"Quinoa (1 cup), Chickpeas (1 cup, boiled), Onion (1 medium, chopped), Cucumber (1 medium, chopped), Cherry tomatoes (1 cup, halved), Olive oil (2 tbsp), Lemon juice (1 tbsp), Salt (to taste), Fresh parsley (for garnish)"
61,Cucumber and Mint Raita,100g,50,1,0.5,2,,5,"Yogurt (1 cup), Cucumber (1 medium, grated), Mint leaves (a handful, chopped), Cumin powder (1 tsp), Salt (to taste)"
62,Grilled Chicken Salad,150g,220,10,2,25,,5,"Chicken, spices, oil, garlic, ginger"
63,Masala Chickpeas,200g,140,5,1,6,,20,"Chickpeas (1 cup, soaked and boiled), Onion (1 medium, chopped), Tomato (1 medium, chopped), Green chilies (2, chopped), Ginger-garlic paste (1 tbsp), Red chili powder (1 tsp), Coriander powder (1 tsp), Cumin powder (1 tsp), Garam masala (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
64,Vegetable Stir-Fry with Tofu,100g,180,7,2,9,,10,"Tofu (200 grams, cubed), Mixed vegetables (bell peppers, carrots, broccoli, sliced), Soy sauce (2 tbsp), Garlic (2 cloves, minced), Ginger (1 inch, grated), Olive oil (2 tbsp), Salt (to taste)"
65,Roasted Beet Salad,100g,90,3,1,2,,10,"Vegetables, olive oil, lemon, salt, pepper"
66,Mixed Bean Salad,100g,150,4,1,9,,25,"Vegetables, olive oil, lemon, salt, pepper"
67,Tomato and Onion Salad with Chaat Masala,200g,35,1,0,1,,5,"Vegetables, olive oil, lemon, salt, pepper"
68,Grilled Eggplant Slices,100g,80,4,1,2,,10,"Eggplant (1 large, sliced), Olive oil (2 tbsp), Salt (to taste), Black pepper (to taste), Lemon juice (1 tbsp)"
69,Baked Aloo Chaat,100g,180,6,1,3,,20,"Potatoes (2 medium, boiled and cubed), Onion (1 medium, chopped), Tomato (1 medium, chopped), Green chilies (2, chopped), Chaat masala (1 tsp), Red chili powder (1/2 tsp), Lemon juice (1 tbsp), Salt (to taste), Coriander leaves (for garnish)"
70,Cabbage and Carrot Slaw,150g,70,2,0.5,2,,10,"Cabbage (1/2 medium, shredded), Carrots (2, grated), Lemon juice (1 tbsp), Olive oil (2 tbsp), Salt (to taste), Black pepper (to taste)"
71,Tandoori Prawns,200g,190,7,2,22,,0,"Prawns (500 grams, cleaned), Yogurt (1/2 cup), Ginger-garlic paste (1 tbsp), Red chili powder (1 tsp), Turmeric powder (1/2 tsp), Garam masala (1 tsp), Lemon juice (1 tbsp), Salt (to taste), Oil (2 tbsp)"
72,Palak Chaat,200g,120,5,2,3,,10,"Spinach (2 bunches, chopped), Onion (1 medium, chopped), Tomato (1 medium, chopped), Green chilies (2, chopped), Cumin seeds (1 tsp), Coriander powder (1 tsp), Turmeric powder (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
73,Bhindi and Aloo Stir Fry,150g,150,8,2,2,,15,"Vegetables, soy sauce, garlic, ginger, oil"
74,Turmeric Cauliflower Soup,200ml,90,3,0.5,2,,10,"Vegetables, broth, spices, salt, pepper"
75,Rice Pudding,150g,210,6,2,4,,30,"Rice, spices, oil, vegetables"
76,Achari Bhindi(low Oil),,110,4,1,2,,10,"Okra (500 grams, sliced), Onion (1 medium, chopped), Tomato (1 medium, chopped), Ginger-garlic paste (1 tbsp), Mustard seeds (1 tsp), Cumin seeds (1 tsp), Fennel seeds (1 tsp), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
77,Spiced Lentil Pancakes,100g,160,5,1,5,,20,"Mixed lentils (1 cup, soaked), Onion (1 medium, chopped), Green chilies (2, chopped), Ginger (1 inch, grated), Cumin seeds (1 tsp), Coriander leaves (a handful, chopped), Salt (to taste), Oil (for cooking)"
78,Palak Bhaji,200g,120,4,1,6,,10,"Spinach (2 bunches, chopped), Onion (1 medium, chopped), Garlic (4 cloves, minced), Green chilies (2, chopped), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
79,Apple Chutney,150g,60,0.5,0,0.5,,20,"Apples (2, peeled and chopped), Onion (1 medium, chopped), Ginger (1 inch, grated), Mustard seeds (1 tsp), Vinegar (2 tbsp), Sugar (1/2 cup), Salt (to taste), Oil (2 tbsp)"
80,Kaddu Ki Sabzi,150g,130,4,1,2,,10,"Pumpkin (500 grams, cubed), Onion (1 medium, chopped), Tomato (1 medium, chopped), Green chilies (2, chopped), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Coriander powder (1 tsp), Red chili powder (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
81,Tandoori Chicken Breast,200g,250,9,2,35,,0,"Chicken, spices, oil, garlic, ginger"
82,Spicy Grilled Salmon,200g,230,12,3,30,,0,"Salmon fillets (4), Olive oil (2 tbsp), Garlic (4 cloves, minced), Red chili powder (1 tsp), Paprika (1 tsp), Lemon juice (2 tbsp), Salt (to taste)"
83,Lahori Fish (Grilled),150g,220,10,2,30,,0,"Fish, spices, lemon, garlic, ginger"
84,Grilled Seekh Kebabs,100g,280,16,5,20,,5,"Ground meat (500 grams), Onion (1 medium, finely chopped), Garlic (4 cloves, minced), Ginger (1 inch, grated), Green chilies (2, chopped), Cumin powder (1 tsp), Coriander powder (1 tsp), Garam masala (1 tsp), Salt (to taste), Oil (for grilling)"
85,Chana Dal,150g,160,4,1,12,,30,"Chana dal (1 cup), Onion (1 medium, chopped), Tomato (1 medium, chopped), Garlic (4 cloves, minced), Ginger (1 inch, grated), Green chilies (2, chopped), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Cumin seeds (1 tsp), Salt (to taste), Oil (2 tbsp)"
86,Masoor Dal Tadka,100g,180,5,1,10,,25,"Masoor dal (1 cup), Onion (1 medium, chopped), Tomato (1 medium, chopped), Garlic (4 cloves, minced), Ginger (1 inch, grated), Green chilies (2, chopped), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Cumin seeds (1 tsp), Salt (to taste), Ghee or oil (2 tbsp)"
87,Saag Chicken,200g,250,14,4,25,,5,"Chicken, spices, oil, garlic, ginger"
88,Vegetable Pulao (Brown Rice),150g,210,6,1,6,,35,"Rice, spices, oil, vegetables"
89,Prawn Curry,200g,220,12,3,22,,5,"Vegetables, spices, oil, garlic, ginger, tomatoes"
90,Moong Dal Chilla,100g,180,3,0.5,9,,20,"Moong dal (1 cup, soaked), Onion (1 medium, chopped), Green chilies (2, chopped), Ginger (1 inch, grated), Cumin seeds (1 tsp), Coriander leaves (a handful, chopped), Salt (to taste), Oil (for cooking)"
91,Cabbage Sabzi,150g,70,2,0.5,2,,5,"Cabbage (1 medium, shredded), Onion (1 medium, chopped), Green chilies (2, chopped), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
92,Carrot Raita,200ml,50,1,0.5,2,,5,"Yogurt (1 cup), Carrot (1 medium, grated), Cumin powder (1 tsp), Salt (to taste)"
93,Spinach and Chickpea Curry,200g,180,6,1,9,,20,"Vegetables, spices, oil, garlic, ginger, tomatoes"
94,Bhindi Masala (Low Oil),150g,130,5,1,2,,10,"Okra , Onion (1 medium, chopped), Tomato (1 medium, chopped), Ginger-garlic paste (1 tbsp), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
95,Roasted Pumpkin Soup,200ml,80,2,0.5,2,,10,"Vegetables, broth, spices, salt, pepper"
96,Stuffed Tomatoes,200g,100,4,1,2,,10,"Tomatoes (4 large), Paneer (100 grams, crumbled), Onion (1 medium, chopped), Green chilies (2, chopped), Ginger (1 inch, grated), Garam masala (1/2 tsp), Cumin seeds (1 tsp), Salt (to taste), Oil (2 tbsp)"
97,Paneer Bhurji (Low-fat),150g,220,12,4,15,,5,"Paneer (250 grams, crumbled), Onion (1 medium, chopped), Tomato (1 medium, chopped), Green chilies (2, chopped), Ginger-garlic paste (1 tbsp), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Garam masala (1 tsp), Salt (to taste), Oil (2 tbsp)"
98,Lemon and Herb Chicken Skewers,100g,240,10,2,35,https://thecozyapron.com/wp-content/uploads/2016/05/grilled-lemon-chicken-skewers_thecozyapron_05-23-16_1-Edit.jpg,5,"Chicken, spices, oil, garlic, ginger"
99,Cauliflower Rice Pilaf,200g,100,3,0.5,2,"https://assets.bonappetit.com/photos/5c54b9b38348a42c8a64ffab/1:1/w_1920,c_limit/healthyish-cauliflower-pilaf-horizontal.jpg",5,"Rice, spices, oil, vegetables"
100,Tomato Cucumber Salad with Mint,100g,40,1,0,1,https://vegetariangastronomy.com/wp-content/uploads/2014/01/cucumber-tomato-mint-salad-3.jpg,5,"Vegetables, olive oil, lemon, salt, pepper"
101,Roasted Carrot and Parsnip Soup,250ml,70,3,0.5,2,https://static01.nyt.com/images/2010/11/08/health/08well_carrot/08well_carrot-articleLarge-v2.jpg?width=1280&quality=75&auto=webp,10,"Vegetables, broth, spices, salt, pepper"
